page,company_name,details_text
17,Limuru Tea PLC,Limuru Tea PLC; announced a Final Dividend of Kes.2.50; Books Closure 14-Apr-2023; Payment 30-June-2023.
17,Kakuzi Plc,Kakuzi Plc; announced a First & Final Dividend of Kes.24.00; Books Closure 31-May-2023; Payment 15-Jun-2023.
17,CIC Insurance Group Plc,CIC Insurance Group Plc; announced a First & Final Dividend of Kes.0.13; Books Closure 08-May-2023; Payment 26-May-2023.
17,The Co-operative Bank of Kenya Ltd,The Co-operative Bank of Kenya Ltd; announced a First & Final Dividend of Kes.1.50; Books Closure 24-May-2023; Payment 09-Jun-2023.
18,KCB Group Plc,KCB Group Plc; announced a Final Dividend of Kes.1.00; Books Closure 06-Apr-2023; Payment 26-May-2023
18,ABSA Bank Kenya Plc,ABSA Bank Kenya Plc; announced a Final Dividend of Kes.1.15; Books Closure 28-Apr-2023; Payment 25-May-2023
18,Standard Chartered Bank Kenya Plc,Announced a Final Dividend of Kes.16.00 on 14-Mar-2023; Books Closure 21-Apr-2023; Payment Date; 25-May-2023
18,Stanbic Holdings Plc,Announced a Final Dividend of Kes.12.60 on 09-Mar-2023; Books Closure 19-May-2023; Payment Date; SUBJECT APPROVAL
18,Safaricom,Announced an Interim Dividend of Kes.0.58 on 28-Feb-2023; Books Closure 15-Mar-2023; Payment 31-Mar-2023.
18,B.A.T Kenya Plc,B.A.T Kenya Plc;KE0000000075; announced Final Dividend of Kes.52.00 on 17-Feb-2023; Books Closure 26-May-2023; Payment 15-Jun-2023.
18,East African Breweries Plc,Announced an Interim Dividend of Kes.3.75 on 27-Jan-2023; Books Closure 16-Feb-2023; Payment Date 28-Apr-2023
18,Car & General,Announced a First and Final Dividend of Kes.0.80 on 26-Jan-2023; Books Closure 24-Feb-2023; Payment Date 23-Mar-2023.
19,KenGen Plc,Announced a First &Final Dividend of Kes.0.20 on 30-Nov-2022; Books Closure 26-Jan-2023; Payment 30-Mar-2023.
19,TransCentury Plc,Announced a Re-open of the Rights Issue of 5:1 on 21-Feb-2023; Books Closure 17-Mar-2023; Crediting Date 20-Apr-2023.
19,KCB Group Plc,KCB Group Plc announced an lnterim Dividend of Kes.1.00 on 16-Nov-2022; Books Closure 08-Dec-2022; Payment 13-Jan-2023.
19,Carbacid Investment Plc,Carbacid Investment Plc announced a Final Dividend of Kes.1.70 on 01-Nov-2022; Books Closure 25-Nov-2022; Payment 16-Dec-2022
19,Jubilee Holdings Ltd,Jubilee Holdings Ltd; announced an Interim Dividend of Kes.1.00; Books Closure 09-Sep-2022; Payment 11-Oct-2022.
19,B.O.C Kenya Plc,B.O.C Kenya Plc; announced an Interim Dividend of Kes.1.60 on 29-Aug-2022; Books Closure 30-Sep-2022; Payment 22-Oct-2022
19,East African Breweries Plc,East African Breweries Plc; announced a Final Dividend of Kes.7.25 on 28-July-2022; Books Closure 15-Sep-2022; Payment 30-Oct-2022.
19,Centum Investment Co Plc,Centum Investment Co Plc; announced a Final Dividend of Kes.0.587 on 26-July-2022.
20,BAT Kenya Plc,BAT Kenya Plc; announced an Interim Dividend of Kes.5.00 on 20-July-2022; Books Closure 12-Aug-2022; Payment 16-Sep-2022.
20,Williamson Tea Kenya Plc,Williamson Tea Kenya Plc; announced a Final Dividend of Kes.20.00 on 01-July-2022; Books Closure 29-Jul-2022.
20,Kapchorua Tea Kenya Plc,Kapchorua Tea Kenya Plc; announced a First & Final Dividend of Kes.10.00 on 01-July-2022; Books Closure 29-Jul-2022.
20,Safaricom Plc,Safaricom Plc; announced a Final Dividend of Kes.0.75Books Closure 29-Jul-2022;Payment 31-Aug-2022
